Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,49.247,-81.247,-90.0,top
D2,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,79.66,-66.899,180.0,top
D3,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,118.215,-74.38,90.0,top
D4,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,49.2206,-74.7826,-90.0,top
D5,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,86.165,-66.9036,180.0,top
D6,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,118.207,-80.8786,90.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,83.83,-102.865,90.0,bottom
Q1,SS8050,SOT-23-3,97.6575,-95.15,0.0,top
R1,47,R_0805_2012Metric,56.7182,-91.3111,-90.0,top
R2,47,R_0805_2012Metric,76.6,-91.1125,-90.0,top
R3,47,R_0805_2012Metric,112.85,-93.2875,-90.0,top
R4,2k7,R_0805_2012Metric,92.7,-97.0125,90.0,top
R5,220k,R_0805_2012Metric,60.9125,-69.0,180.0,top
R6,220k,R_0805_2012Metric,60.9125,-72.556,180.0,top
R7,100k,R_0805_2012Metric,60.9085,-76.112,180.0,top
R8,12k,R_0805_2012Metric,60.9085,-79.48,180.0,top
R9,10k,R_0805_2012Metric,60.9035,-82.75,180.0,top
R10,220k,R_0805_2012Metric,86.5125,-75.825,0.0,top
R11,220k,R_0805_2012Metric,86.5125,-79.35,0.0,top
R12,100k,R_0805_2012Metric,86.5125,-83.0,0.0,top
R13,12k,R_0805_2012Metric,86.5125,-86.556,0.0,top
R14,10k,R_0805_2012Metric,86.5125,-90.05,0.0,top
R15,220k,R_0805_2012Metric,106.1485,-73.406,0.0,top
R16,220k,R_0805_2012Metric,106.1485,-76.864,0.0,top
R17,100k,R_0805_2012Metric,106.1485,-80.46,0.0,top
R18,12k,R_0805_2012Metric,106.1485,-83.918,0.0,top
R19,10k,R_0805_2012Metric,106.1485,-87.376,0.0,top
TP1,TestPoint,TestPoint_Pad_2.0x2.0mm,56.76,-86.19,0.0,top
TP2,TestPoint,TestPoint_Pad_2.0x2.0mm,61.6204,-88.646,0.0,top
TP3,TestPoint,TestPoint_Pad_2.0x2.0mm,91.0,-89.6,0.0,top
TP4,TestPoint,TestPoint_Pad_2.0x2.0mm,110.475,-87.375,0.0,top
