Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,56.993,-81.247,-90.0,top
D2,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,79.66,-74.1634,180.0,top
D3,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,110.5534,-74.6648,90.0,top
D4,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,56.9666,-74.7826,-90.0,top
D5,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,86.165,-74.168,180.0,top
D6,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear,110.5454,-81.1634,90.0,top
Q1,SS8050,SOT-23-3,97.6575,-95.15,180.0,top
R1,47,R_0805_2012Metric,64.389,-87.9837,-90.0,top
R2,47,R_0805_2012Metric,76.581,-94.7401,-90.0,top
R3,47,R_0805_2012Metric,103.9714,-90.8693,-90.0,top
R4,2k7,R_0805_2012Metric,92.7,-97.0125,90.0,top
R5,220k,R_0805_2012Metric,68.7865,-73.5,180.0,top
R6,220k,R_0805_2012Metric,68.7865,-77.056,180.0,top
R7,100k,R_0805_2012Metric,68.7825,-80.612,180.0,top
R8,12k,R_0805_2012Metric,68.7825,-83.98,180.0,top
R9,10k,R_0805_2012Metric,68.7245,-87.02,180.0,top
R10,220k,R_0805_2012Metric,86.5125,-82.2099,0.0,top
R11,220k,R_0805_2012Metric,86.5125,-85.7349,0.0,top
R12,100k,R_0805_2012Metric,86.5125,-89.3849,0.0,top
R13,12k,R_0805_2012Metric,86.5125,-92.9409,0.0,top
R14,10k,R_0805_2012Metric,86.5125,-96.4349,0.0,top
R15,220k,R_0805_2012Metric,98.4869,-73.3452,0.0,top
R16,220k,R_0805_2012Metric,98.4869,-76.8032,0.0,top
R17,100k,R_0805_2012Metric,98.4869,-80.3992,0.0,top
R18,12k,R_0805_2012Metric,98.4869,-83.8572,0.0,top
R19,10k,R_0805_2012Metric,98.4869,-87.3152,0.0,top
